Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Japan,2021,Leprosy,Respiratory,9.33,6.64,3.1,36-60,Other,355468,60.58,3.95,5.88,Medication,35024,Yes,59.62,2444,8.79,41759,0.64,60.55
Nigeria,2023,Ebola,Respiratory,14.57,6.82,2.56,19-35,Female,95661,75.55,2.68,3.74,Therapy,19636,No,72.02,1035,3.69,15226,0.49,29.78
Nigeria,2017,Rabies,Respiratory,9.39,13.71,6.92,0-18,Male,784299,64.26,0.87,5.62,Vaccination,19828,Yes,86.95,1105,7.9,55259,0.68,66.98
Japan,2021,COVID-19,Respiratory,1.45,9.79,3.34,36-60,Male,798395,85.67,3.46,6.34,Surgery,13779,Yes,62.15,3766,6.62,18937,0.46,36.21
Argentina,2018,Polio,Respiratory,18.46,3.33,7.59,36-60,Male,328356,82.01,3.91,8.53,Vaccination,2630,No,89.73,885,6.37,97041,0.63,56.72
Saudi Arabia,2022,Dengue,Respiratory,18.58,12.92,4.15,36-60,Male,923269,67.82,1.07,5.24,Surgery,1005,No,83.23,4650,9.34,6914,0.8,80.81
Indonesia,2018,Cholera,Respiratory,12.7,12.94,7.14,0-18,Female,478488,76.6,3.5,7.52,Surgery,3695,No,58.69,2067,6.21,48110,0.88,83.55
Australia,2021,Zika,Respiratory,3.3,6.19,0.12,19-35,Male,130151,69.17,1.48,8.23,Surgery,462,Yes,64.9,1257,7.24,53014,0.75,84.43
Turkey,2022,Cancer,Respiratory,0.6,12.5,8.15,61+,Female,938225,95.93,3.79,7.05,Vaccination,21531,Yes,60.88,1933,7.66,62737,0.87,34.6
Brazil,2020,Parkinson's Disease,Respiratory,2.78,1.22,6.77,61+,Male,817434,69.67,4.11,6.5,Vaccination,1663,Yes,61.51,3859,8.45,48192,0.87,69.07
China,2020,Hypertension,Respiratory,1.76,6.09,0.2,0-18,Male,504049,94.87,0.54,6.13,Vaccination,1673,No,73.77,426,2.66,89929,0.49,23.42
Russia,2017,Polio,Respiratory,10.89,8.23,9.72,0-18,Male,493712,50.86,1.66,2.59,Therapy,23686,Yes,56.32,973,1.96,72196,0.76,40
South Korea,2022,Parkinson's Disease,Respiratory,9.59,10.31,6.9,19-35,Male,580690,58.92,1.8,0.73,Therapy,37040,No,92.63,4846,7.95,7078,0.44,74.81
China,2022,Alzheimer's Disease,Respiratory,10.4,6.6,8.51,61+,Male,942391,73.21,2.56,8.58,Vaccination,27189,Yes,67.43,115,5.11,53115,0.5,20.71
Germany,2022,Polio,Respiratory,7.68,4.49,4.06,0-18,Male,417558,51.04,3.1,4.4,Vaccination,35615,No,84.27,2968,0.18,75603,0.48,28.12
Brazil,2019,Measles,Respiratory,0.34,4.21,3.72,0-18,Female,642932,57.02,2.41,7.7,Vaccination,16676,Yes,89.38,4688,6.04,23315,0.66,42.89
Indonesia,2017,Alzheimer's Disease,Respiratory,15.17,10.65,9.77,19-35,Female,703063,54.15,4.2,8.8,Medication,19763,Yes,87.96,897,0.73,2767,0.65,86.92
USA,2018,Asthma,Respiratory,6.72,14.44,2.52,61+,Male,630025,72.74,1.43,8.45,Medication,5177,No,70.07,2320,1.88,38626,0.42,23.91
Saudi Arabia,2017,Hepatitis,Respiratory,9.68,14.96,7.88,19-35,Female,379489,70.63,1,8.42,Medication,42300,No,76.13,360,8.31,63004,0.62,45.5
Japan,2022,Polio,Respiratory,16.99,13.54,0.6,36-60,Female,816153,57.36,3.25,3.43,Surgery,18863,Yes,76.21,827,9.6,62497,0.51,36.41
Turkey,2018,Zika,Respiratory,12.15,2.23,8.47,61+,Other,322192,75.11,2.51,0.77,Surgery,30314,No,86.51,3179,6.19,18571,0.53,23.73
Nigeria,2023,Tuberculosis,Respiratory,6.72,1.65,6.53,61+,Female,55826,51.66,1.54,4.44,Therapy,45185,Yes,53.55,2334,9.73,27892,0.46,84.48
Indonesia,2023,Leprosy,Respiratory,6.71,12,7.92,19-35,Other,321662,80.66,2.2,6.07,Vaccination,16755,No,97.71,1624,3.34,79552,0.65,64.85
India,2022,Ebola,Respiratory,8.43,3.89,7.05,0-18,Female,767986,84.69,1.45,3.92,Medication,7878,No,73.85,910,4.68,18139,0.67,85.78
India,2020,HIV/AIDS,Respiratory,12.81,6.64,4.4,0-18,Male,446873,83.22,1.36,7.07,Medication,10936,Yes,73.46,1397,7.14,69241,0.54,85.73
Germany,2020,Measles,Respiratory,15.85,4.02,6.54,19-35,Male,690770,51.63,4.4,4.69,Therapy,3348,Yes,51.74,557,5.98,57206,0.57,79.87
Canada,2023,Rabies,Respiratory,4.28,2.97,6.22,19-35,Male,243378,92.23,3.39,9.73,Medication,44895,No,79.13,473,0.32,42319,0.84,39.01
Saudi Arabia,2021,Parkinson's Disease,Respiratory,18.28,8.29,2.64,0-18,Other,453009,93.07,1.47,7.58,Vaccination,39761,Yes,64.11,4634,8.81,79972,0.88,56.72
Canada,2018,Measles,Respiratory,3.59,7.27,5.26,0-18,Female,471727,65.9,2.79,6.57,Surgery,38974,No,53.35,4536,7.05,50357,0.66,82.66
Russia,2018,Hepatitis,Respiratory,18.48,14.65,4.36,61+,Female,314395,86.42,2.37,1.55,Therapy,10957,No,57.09,3300,8.04,29061,0.44,64.77
Canada,2017,COVID-19,Respiratory,0.56,13.26,1.3,0-18,Other,789046,88.23,1.66,3.44,Surgery,27777,No,78.32,4797,2.27,88968,0.49,25.08
South Korea,2019,Rabies,Respiratory,7.72,9.82,5.67,36-60,Female,466247,93.23,4.75,6.04,Surgery,22637,Yes,59.86,2419,7.01,57070,0.46,29.43
India,2018,Hepatitis,Respiratory,10.58,11.23,2.94,0-18,Male,285105,84.6,2,3.35,Surgery,45171,No,97.36,158,7.94,84361,0.89,47.84
USA,2023,Asthma,Respiratory,18.3,8.89,3.52,61+,Female,553793,99.35,4.62,8.82,Vaccination,24001,No,81.52,4992,6.97,83559,0.85,32.16
Canada,2017,Hypertension,Respiratory,17.86,0.38,9.15,36-60,Female,238444,96.63,1.93,9.63,Surgery,29774,Yes,56.41,3315,7.05,20320,0.43,42.86
UK,2019,COVID-19,Respiratory,11.73,4.17,4.81,0-18,Other,62493,84.74,4.35,3.21,Therapy,3800,No,75.9,3951,3.92,42676,0.68,46.83
Argentina,2018,Rabies,Respiratory,3.39,5.24,7.54,61+,Other,580912,71.72,2.31,9.4,Medication,38713,No,70.69,1386,7,51957,0.61,82.72
China,2017,Rabies,Respiratory,17.27,13.88,2.87,61+,Other,508259,63.79,3.46,8.45,Vaccination,47659,No,53.66,806,0.18,29010,0.82,53.03
Japan,2023,Influenza,Respiratory,13.2,13.57,1.08,36-60,Male,409662,90.59,4.37,6.25,Surgery,9903,Yes,54.33,2444,6.02,21929,0.59,89.31
Argentina,2023,Cholera,Respiratory,18.97,11.48,4.91,19-35,Male,108494,80.8,4.14,6.23,Vaccination,25129,Yes,58.09,2610,8.6,2103,0.58,81.03
USA,2018,Influenza,Respiratory,18.94,2.96,5.67,0-18,Male,792954,51.97,1.26,5.54,Medication,6657,Yes,78.48,298,3.53,33727,0.66,36.19
Italy,2019,Hepatitis,Respiratory,13.84,7.43,4.73,19-35,Female,480065,60.41,1.65,8.25,Medication,2889,No,71.31,197,7.67,3334,0.71,37.59
Nigeria,2018,Hepatitis,Respiratory,18.07,9.82,3.59,61+,Female,235504,99.55,3,5.68,Surgery,16041,No,82.82,4389,9.4,53186,0.41,50.02
China,2021,Alzheimer's Disease,Respiratory,3.35,7.61,0.91,0-18,Other,831459,53.7,3.18,1.81,Surgery,38573,No,81.37,1645,3.65,46709,0.61,38.05
Nigeria,2023,Dengue,Respiratory,17.73,4.21,6.66,19-35,Female,491272,75.79,1.23,2.41,Medication,26066,Yes,63.77,2031,1.15,84304,0.89,86.33
South Africa,2020,Cholera,Respiratory,0.4,1.01,0.53,36-60,Other,492262,55.98,1,2.43,Therapy,4683,Yes,96.53,3081,9.98,66135,0.62,30.96
China,2017,Cholera,Respiratory,15.84,2.96,9.81,36-60,Female,840092,63.52,0.61,1.61,Surgery,10066,Yes,57.91,1191,8.92,29466,0.69,77.59
USA,2020,Dengue,Respiratory,11.99,9.36,9.35,19-35,Male,851571,81.29,2.05,9.17,Surgery,38672,No,65.59,4988,4.78,72237,0.72,64.12
India,2021,Alzheimer's Disease,Respiratory,6.89,13.69,2.93,19-35,Other,984464,94.61,0.84,2.79,Surgery,43819,Yes,54.79,1570,4.09,9778,0.8,70.19
USA,2021,Zika,Respiratory,15.85,9.9,4.91,19-35,Female,933812,57.49,3.75,5,Surgery,12309,No,69.57,3636,7.1,52022,0.83,24.34
Saudi Arabia,2023,Influenza,Respiratory,8.08,4.28,5.23,0-18,Female,378283,57.4,2.75,9.52,Therapy,4816,No,79.94,1099,7.99,96103,0.45,79.5
South Korea,2023,Leprosy,Respiratory,19.13,2.95,2.43,0-18,Other,690547,88.31,3.97,7.95,Medication,27423,Yes,90.42,703,9.17,93239,0.51,72.46
China,2021,Influenza,Respiratory,19.46,1.98,1.69,19-35,Male,243269,88.67,1.25,8.65,Medication,37007,No,85.83,1116,5.31,52984,0.8,82.26
South Africa,2022,Malaria,Respiratory,15.37,12.99,5.64,61+,Other,735047,80.84,4.15,9.49,Therapy,45723,No,80.9,528,5.41,48902,0.62,56.94
Mexico,2020,Rabies,Respiratory,17.8,2.7,9.47,19-35,Female,534333,89.22,3.56,6.72,Therapy,39184,Yes,94.99,4594,9.94,19982,0.75,72.14
Saudi Arabia,2018,Malaria,Respiratory,12.85,10.86,2.68,19-35,Male,737372,92.14,1.64,4.74,Surgery,8177,Yes,90.95,2368,6.74,3955,0.72,51.17
Japan,2017,Malaria,Respiratory,14.59,10.45,5.59,61+,Female,520979,53.34,4.99,7.4,Vaccination,29111,Yes,83.91,3640,0.17,53915,0.46,43.92
South Africa,2018,Measles,Respiratory,9.64,0.91,0.35,19-35,Male,309321,52.64,1.37,7.83,Surgery,21274,Yes,57.17,4538,7.13,3997,0.87,74.01
Germany,2018,Leprosy,Respiratory,3.99,7.88,2.76,0-18,Male,292480,72.21,2.01,3.67,Vaccination,16161,No,81.73,2042,7.77,36836,0.81,30.96
Indonesia,2019,Zika,Respiratory,17.42,10.43,7.13,0-18,Other,569590,90.44,0.89,7.47,Surgery,32754,No,57.83,1023,1.86,45996,0.57,86.39
Mexico,2022,COVID-19,Respiratory,8.99,8.71,1.29,0-18,Other,480814,56.9,0.94,4.33,Surgery,13919,No,72.53,2070,2.09,99088,0.48,55.87
Indonesia,2020,Asthma,Respiratory,14.34,11.53,0.33,61+,Female,311593,72.6,4.99,7.67,Medication,45497,No,81.96,2014,9.93,88408,0.49,86.99
South Africa,2022,Cancer,Respiratory,3.48,0.21,4.13,0-18,Male,778998,51.25,4.43,6.06,Surgery,784,Yes,95.1,673,6.82,4764,0.42,25.43
Germany,2022,Ebola,Respiratory,4.73,14.47,4.2,61+,Female,382747,95.29,3.64,5.81,Surgery,32067,Yes,70.53,2501,3.91,31873,0.54,70.93
Saudi Arabia,2023,HIV/AIDS,Respiratory,18.21,4.06,8.2,61+,Male,383524,78.65,1.62,0.78,Vaccination,23143,No,79.39,752,4.26,58325,0.64,27.56
Nigeria,2019,COVID-19,Respiratory,2.88,8.03,6.44,0-18,Female,396680,93.65,4.12,4.19,Vaccination,21261,Yes,96.58,2086,2.76,99525,0.77,37.61
Indonesia,2023,Zika,Respiratory,6.03,14.78,1.21,19-35,Female,229215,64.22,3.3,5.93,Surgery,45324,No,82.77,2048,5.66,53526,0.42,69.43
India,2021,Dengue,Respiratory,17.13,6.75,8.66,61+,Male,968737,69.92,4.46,7.58,Medication,12306,Yes,61.06,2846,9.63,47860,0.7,51.59
Japan,2018,Asthma,Respiratory,5.44,12.25,5.92,0-18,Male,648201,50.6,4.79,7.56,Therapy,33307,No,69.68,1782,0.45,33283,0.52,77.42
Brazil,2017,Zika,Respiratory,11.62,11.35,0.44,61+,Male,275177,52.85,1.4,7.46,Therapy,45116,Yes,91.59,215,6.64,9624,0.74,53.47
Canada,2017,Influenza,Respiratory,11.63,10.03,1.84,0-18,Other,745464,54.58,4.22,2.76,Medication,42499,No,94.96,282,1.99,40066,0.7,80.46
South Korea,2018,Hypertension,Respiratory,18.71,7.7,6.17,61+,Other,914121,70.12,1.24,2.63,Therapy,15851,Yes,73.2,1083,4.17,52133,0.74,43.42
USA,2017,Parkinson's Disease,Respiratory,0.24,10.44,0.38,61+,Other,607834,77.44,0.72,4.79,Surgery,22719,Yes,92.56,2522,5.55,35672,0.69,54.45
India,2022,Rabies,Respiratory,4.08,8.65,0.16,0-18,Male,895058,67.03,4.91,9.37,Medication,17225,No,87.08,2958,1.68,27085,0.57,87.27
India,2019,Asthma,Respiratory,11.17,14.48,8.25,36-60,Other,896336,63.49,0.64,9.6,Surgery,40044,No,84.35,1097,6.46,15039,0.69,65.13
Nigeria,2019,HIV/AIDS,Respiratory,1.21,2.16,7.02,0-18,Male,937373,55.06,2.11,6.25,Vaccination,6983,Yes,87.25,3447,6.98,44334,0.45,58.98
France,2020,Malaria,Respiratory,14.15,7.58,4.22,0-18,Female,712211,71.72,4.65,4.86,Therapy,48851,No,68.64,4263,1.37,74632,0.9,79.17
Nigeria,2021,Polio,Respiratory,12.68,1.49,6.44,19-35,Female,371420,88.11,1.49,4.27,Surgery,28063,No,97.51,344,1.7,61440,0.47,79.67
Australia,2019,Alzheimer's Disease,Respiratory,4.06,9.31,5.59,19-35,Female,445928,87.52,2.84,8.96,Medication,44628,Yes,70.72,3635,7.65,48111,0.63,23.24
Argentina,2018,Hepatitis,Respiratory,17.2,10.01,6.23,19-35,Female,757769,77.6,2.05,1.74,Therapy,17696,Yes,71.47,484,8.41,39553,0.87,38.74
Mexico,2017,Tuberculosis,Respiratory,12.33,14.53,6.02,0-18,Female,357153,93.47,3.79,1.57,Vaccination,35339,Yes,87.5,2704,7.16,86182,0.44,83.41
Argentina,2018,COVID-19,Respiratory,4.34,6.04,8.5,36-60,Other,351255,99.85,3.72,6.2,Medication,47732,No,68.42,3487,6.65,86802,0.75,59.46
Saudi Arabia,2018,Parkinson's Disease,Respiratory,9.97,4.46,1.57,19-35,Female,738369,99.36,3.39,7.43,Surgery,16492,Yes,92.95,172,0.98,94873,0.63,45.42
France,2019,Measles,Respiratory,11.92,4.86,1.95,0-18,Male,531800,97.63,3.82,2.88,Therapy,18195,Yes,53.74,3181,0.73,99589,0.49,21.52
Japan,2020,Cholera,Respiratory,13.09,12.65,3.68,19-35,Female,514043,91.84,2.67,2.79,Therapy,19842,No,68.95,537,0.62,53638,0.57,70.31
UK,2017,Influenza,Respiratory,19.4,0.41,0.56,61+,Male,870971,94.98,4.83,6.8,Medication,28781,Yes,60.82,3261,8.98,69727,0.76,58.97
South Africa,2023,Alzheimer's Disease,Respiratory,2.41,14.83,9.54,61+,Other,609152,79.9,2.01,6.26,Medication,27995,Yes,63.46,1650,1.3,82403,0.55,54.64
Germany,2020,Ebola,Respiratory,9.08,7.42,9.07,0-18,Male,410803,60.4,1.45,9.25,Medication,40743,No,68.79,2431,7.69,51986,0.82,29.23
South Africa,2022,Tuberculosis,Respiratory,10.91,13.51,2.91,36-60,Male,401214,88.78,2.32,9.43,Vaccination,13975,Yes,97.68,3342,4.65,10240,0.54,64.45
Indonesia,2021,Parkinson's Disease,Respiratory,10.7,8.08,7.03,61+,Female,13162,92.92,3.36,5.12,Vaccination,31594,No,67.69,247,5.12,4642,0.43,64.11
France,2019,Hepatitis,Respiratory,10.48,10.54,5.64,0-18,Male,109940,84.25,2.96,2.4,Vaccination,36430,Yes,53.28,1889,6,66765,0.55,85.47
Mexico,2021,Hepatitis,Respiratory,14.1,9.99,9.16,36-60,Other,532855,96.5,3.6,6.08,Surgery,48947,No,76.09,1420,0.59,15045,0.53,50.85
India,2023,Cancer,Respiratory,8.77,8.7,4.25,61+,Female,91297,65.41,4.99,9.37,Surgery,44527,Yes,67.78,1814,6.43,23207,0.65,37.95
Russia,2017,Cancer,Respiratory,7.23,3.91,6.12,19-35,Female,702463,88.2,3.58,4.85,Vaccination,36543,No,73.63,2672,3.31,40158,0.44,46.93
USA,2018,Hepatitis,Respiratory,19.82,1.58,6.83,0-18,Other,366143,90.46,3.67,1.06,Vaccination,4640,No,51.53,1609,5.26,31531,0.86,44.29
USA,2020,Diabetes,Respiratory,8.83,2.79,8.58,19-35,Male,536720,89.08,3.21,9.04,Surgery,21569,No,95.77,3902,7.32,32467,0.67,87.29
Japan,2017,Hypertension,Respiratory,5.86,9.12,2.32,19-35,Other,946553,50.55,1.38,6.72,Medication,3041,No,81.34,743,7.27,42717,0.67,84.41
Australia,2022,Leprosy,Respiratory,0.81,5.75,7.43,36-60,Male,819548,84.54,4.68,9.76,Medication,41734,Yes,71.34,4085,8.41,12511,0.62,52.07
Canada,2021,Rabies,Respiratory,16.08,0.71,6.72,61+,Female,368506,94.58,4.08,1.67,Medication,40275,Yes,97.11,4734,9.4,62785,0.82,24.41
Indonesia,2023,Hepatitis,Respiratory,12.8,4.77,6.26,19-35,Other,551434,69.73,1.38,0.85,Vaccination,10865,No,90.63,2070,4.57,30102,0.75,35.66
South Africa,2023,Hepatitis,Respiratory,19.21,3.51,6.81,61+,Other,967842,75.43,3.4,5.4,Medication,45165,No,67.51,874,3.1,29169,0.44,59.89
Turkey,2017,Polio,Respiratory,9.17,1.35,8.96,0-18,Female,462679,50.89,2.47,3.93,Surgery,34075,No,64.76,4755,2.56,36945,0.84,65.05
Italy,2020,Hepatitis,Respiratory,11.24,5.08,3.12,19-35,Male,823806,66.45,2.19,8.34,Surgery,1768,No,86.47,1240,1.97,24446,0.61,32.78
USA,2023,Asthma,Respiratory,11.38,1.84,7.03,36-60,Female,256664,90.49,4.79,2.32,Therapy,26540,Yes,57.61,4855,7.13,21621,0.51,25.23
Turkey,2020,Ebola,Respiratory,7.69,13.52,10,19-35,Female,906869,64.74,3.84,9.45,Medication,16899,Yes,61.05,4423,7.22,27731,0.75,40.64
India,2023,Asthma,Respiratory,3.79,11.48,0.33,19-35,Female,300858,95.85,4.45,7.57,Medication,21775,No,85.49,2016,3.6,36747,0.62,73.01
Russia,2022,Influenza,Respiratory,6.51,6.36,7.95,36-60,Male,392702,96.53,0.63,1.65,Therapy,31513,Yes,50.71,2588,6.9,45118,0.77,58.06
China,2021,Malaria,Respiratory,8.4,8.45,2.74,19-35,Other,587856,63.69,2.49,3.18,Surgery,22458,Yes,70.79,2550,1.08,92392,0.51,53.89
Russia,2023,Rabies,Respiratory,18.82,6.87,2.83,19-35,Other,306463,63.22,2.84,8.72,Surgery,42361,Yes,96.11,1608,9.8,92038,0.83,27.79
Italy,2022,Hypertension,Respiratory,2.19,0.7,7.78,0-18,Other,828378,65.28,2.28,8.81,Medication,48836,No,66.09,4996,2.13,64713,0.48,81.88
Nigeria,2020,Ebola,Respiratory,13.03,14.16,7.17,19-35,Female,555369,60.3,1.26,8.15,Therapy,36378,No,55.42,3208,7.72,93810,0.66,86.27
France,2017,Hypertension,Respiratory,17.69,1.64,8.4,0-18,Female,703849,85.41,2.43,5.52,Therapy,44848,No,85.64,3548,5.01,39826,0.73,85.65
India,2019,Influenza,Respiratory,12.94,0.25,4.88,19-35,Female,896063,98.72,1.9,0.77,Surgery,1041,Yes,74.02,748,0.89,39336,0.44,75.35
Argentina,2021,Parkinson's Disease,Respiratory,4.89,3.37,5.63,0-18,Male,759731,51.95,1.86,7.77,Therapy,21662,No,84.85,2350,7.91,84042,0.52,58.4
Argentina,2020,Parkinson's Disease,Respiratory,5.48,8.67,3.65,61+,Male,156917,86.52,2.29,0.83,Medication,48270,No,69.99,4714,6.24,56301,0.65,23.54
Mexico,2020,COVID-19,Respiratory,8.66,9.97,6.12,0-18,Female,324929,55.04,4.75,5.94,Surgery,8643,Yes,76.25,3250,7.38,85305,0.79,29.95
France,2017,Dengue,Respiratory,7.15,13.54,7.73,36-60,Female,459150,62.24,3.56,9.64,Vaccination,26571,No,92.02,4599,2.25,92349,0.62,49.3
Indonesia,2022,COVID-19,Respiratory,11.36,3.17,8.19,61+,Other,576345,50.57,4.3,3.95,Medication,44077,Yes,63.41,661,6.73,98131,0.76,72.67
South Africa,2021,Parkinson's Disease,Respiratory,5.49,11.26,4.6,36-60,Other,930328,63.02,4.47,2.83,Vaccination,40356,Yes,69.79,439,0.74,51476,0.47,42.09
Turkey,2021,COVID-19,Respiratory,18.97,11.42,4.32,61+,Female,475581,96.03,4.13,8.94,Surgery,24468,Yes,52.7,347,6.14,46088,0.44,70.73
Japan,2019,Hepatitis,Respiratory,8.74,1.31,8.29,61+,Female,151478,55.42,1.2,1.87,Medication,4099,No,71.69,596,2.7,92982,0.49,33.44
Germany,2023,Cholera,Respiratory,0.49,5.85,8.83,0-18,Female,52622,75.59,4.48,4.36,Medication,28348,No,56.18,1718,4.97,53434,0.78,56.4
India,2017,Hepatitis,Respiratory,17.63,7.82,4.62,61+,Female,977447,93.96,1.64,0.95,Vaccination,25487,Yes,57.12,4485,6.42,5789,0.45,32.53
Japan,2020,Malaria,Respiratory,9.26,5.19,3.08,19-35,Male,805364,71.63,4.48,5.23,Therapy,454,Yes,79.27,3355,0.24,36530,0.56,65.09
Nigeria,2023,COVID-19,Respiratory,18.6,13.38,2.99,61+,Other,721204,60.57,3.56,1.61,Surgery,15103,Yes,77.83,695,0.46,43845,0.84,46.55
India,2023,Influenza,Respiratory,18.17,9.57,3.24,36-60,Female,93684,77.34,0.94,2.33,Medication,836,No,58.36,2483,5.42,49504,0.54,39.02
Mexico,2023,HIV/AIDS,Respiratory,13.92,9.09,4.55,19-35,Other,32229,66.62,3.74,1.49,Vaccination,42431,No,89.1,1801,2.16,89835,0.5,26.39
Russia,2023,Polio,Respiratory,15.7,9.84,5.77,0-18,Female,80431,96.39,3.84,8.95,Medication,11913,Yes,91.13,2585,0.19,41162,0.69,31.7
India,2018,Asthma,Respiratory,18.87,7.38,1.55,19-35,Other,395993,53.99,4.56,8.6,Medication,6463,No,98.36,268,1.47,51831,0.81,40.93
Saudi Arabia,2017,Tuberculosis,Respiratory,9.48,2.52,1.77,0-18,Other,153080,56.66,4.82,9.3,Medication,16121,Yes,53.01,4162,8.93,87332,0.68,67.24
USA,2022,Malaria,Respiratory,8.06,12.84,4.79,36-60,Other,211090,61.1,3.66,7.05,Medication,40349,No,84.64,4080,9.48,81763,0.74,87.34
South Africa,2020,Zika,Respiratory,17.65,8.75,6.64,61+,Female,261414,86.8,1.03,2.1,Medication,28697,No,92.63,593,4.34,58053,0.89,55.79
Germany,2020,Asthma,Respiratory,8.29,6.51,3.88,36-60,Female,551447,78.82,0.55,2.59,Vaccination,11944,No,79.4,2057,1.91,92755,0.61,27.65
Germany,2023,Alzheimer's Disease,Respiratory,17.11,3.67,2.49,19-35,Female,964511,80.91,3.05,2.65,Therapy,24966,Yes,54.12,3413,2.75,79986,0.72,48.23
